Date,Hour,region,Demand,Net generation
2015-07-01,0,CENT,30408.0,30797.0
2015-07-01,1,CENT,30408.0,30797.0
2015-07-01,2,CENT,30408.0,30797.0
2015-07-01,3,CENT,30408.0,30797.0
2015-07-01,4,CENT,30408.0,30797.0
2015-07-01,5,CENT,30408.0,30797.0
2015-07-01,6,CENT,28985.0,29484.0
2015-07-01,7,CENT,27498.0,28106.0
2015-07-01,8,CENT,26384.0,26841.0
2015-07-01,9,CENT,25663.0,26174.0
2015-07-01,10,CENT,25481.0,26108.0
2015-07-01,11,CENT,26061.0,26694.0
2015-07-01,12,CENT,26938.0,27479.0
2015-07-01,13,CENT,28180.0,28643.0
2015-07-01,14,CENT,29562.0,30005.0
2015-07-01,15,CENT,31254.0,31589.0
2015-07-01,16,CENT,33085.0,33355.0
2015-07-01,17,CENT,35077.0,35089.0
2015-07-01,18,CENT,36984.0,36846.0
2015-07-01,19,CENT,38659.0,38091.0
2015-07-01,20,CENT,39607.0,38886.0
2015-07-01,21,CENT,40319.0,39654.0
2015-07-01,22,CENT,40794.0,40086.0
2015-07-01,23,CENT,40696.0,40274.0
2015-07-02,0,CENT,40013.0,39484.0
2015-07-02,1,CENT,38804.0,38345.0
2015-07-02,2,CENT,37332.0,36981.0
2015-07-02,3,CENT,36422.0,36198.0
2015-07-02,4,CENT,34173.0,34261.0
2015-07-02,5,CENT,31489.0,31686.0
2015-07-02,6,CENT,29299.0,29767.0
2015-07-02,7,CENT,27667.0,28073.0
2015-07-02,8,CENT,26545.0,26820.0
2015-07-02,9,CENT,25804.0,26051.0
2015-07-02,10,CENT,25578.0,25530.0
2015-07-02,11,CENT,26172.0,26431.0
2015-07-02,12,CENT,27014.0,27232.0
2015-07-02,13,CENT,28220.0,28336.0
2015-07-02,14,CENT,29630.0,30110.0
2015-07-02,15,CENT,30999.0,31479.0
2015-07-02,16,CENT,32358.0,32536.0
2015-07-02,17,CENT,33563.0,33706.0
2015-07-02,18,CENT,34611.0,34627.0
2015-07-02,19,CENT,35488.0,35318.0
2015-07-02,20,CENT,35887.0,35866.0
2015-07-02,21,CENT,36014.0,35912.0
2015-07-02,22,CENT,35969.0,35959.0
2015-07-02,23,CENT,35282.0,35345.0
2015-07-03,0,CENT,34278.0,34241.0
2015-07-03,1,CENT,33150.0,32962.0
2015-07-03,2,CENT,32117.0,32115.0
2015-07-03,3,CENT,31335.0,31332.0
2015-07-03,4,CENT,29611.0,29660.0
2015-07-03,5,CENT,27519.0,27817.0
2015-07-03,6,CENT,25686.0,25943.0
2015-07-03,7,CENT,24410.0,24863.0
2015-07-03,8,CENT,23600.0,24088.0
2015-07-03,9,CENT,23052.0,23456.0
2015-07-03,10,CENT,22865.0,23282.0
2015-07-03,11,CENT,23123.0,23468.0
2015-07-03,12,CENT,23297.0,23684.0
2015-07-03,13,CENT,23982.0,24223.0
2015-07-03,14,CENT,25419.0,25606.0
2015-07-03,15,CENT,27134.0,27334.0
2015-07-03,16,CENT,28703.0,28794.0
2015-07-03,17,CENT,30215.0,30312.0
2015-07-03,18,CENT,31589.0,31633.0
2015-07-03,19,CENT,32820.0,32786.0
2015-07-03,20,CENT,33632.0,33435.0
2015-07-03,21,CENT,34366.0,33874.0
2015-07-03,22,CENT,34804.0,34374.0
2015-07-03,23,CENT,34611.0,34148.0
2015-07-04,0,CENT,33704.0,33348.0
2015-07-04,1,CENT,32454.0,32191.0
2015-07-04,2,CENT,30999.0,31014.0
2015-07-04,3,CENT,30186.0,30261.0
2015-07-04,4,CENT,28603.0,28645.0
2015-07-04,5,CENT,26819.0,27242.0
2015-07-04,6,CENT,25051.0,25126.0
2015-07-04,7,CENT,23624.0,23776.0
2015-07-04,8,CENT,22667.0,22695.0
2015-07-04,9,CENT,22109.0,22137.0
2015-07-04,10,CENT,21730.0,21808.0
2015-07-04,11,CENT,21742.0,21810.0
2015-07-04,12,CENT,21501.0,21624.0
2015-07-04,13,CENT,22068.0,21935.0
2015-07-04,14,CENT,23730.0,23508.0
2015-07-04,15,CENT,25695.0,25575.0
2015-07-04,16,CENT,27809.0,27794.0
2015-07-04,17,CENT,29707.0,29754.0
2015-07-04,18,CENT,31275.0,31365.0
2015-07-04,19,CENT,32455.0,32515.0
2015-07-04,20,CENT,33384.0,33056.0
2015-07-04,21,CENT,34086.0,33933.0
2015-07-04,22,CENT,34234.0,34212.0
2015-07-04,23,CENT,33819.0,33827.0
2015-07-05,0,CENT,32890.0,32957.0
2015-07-05,1,CENT,31601.0,31810.0
2015-07-05,2,CENT,30051.0,30245.0
2015-07-05,3,CENT,28910.0,29083.0
2015-07-05,4,CENT,27759.0,27814.0
2015-07-05,5,CENT,26779.0,27240.0
2015-07-05,6,CENT,25361.0,25581.0
2015-07-05,7,CENT,24070.0,24236.0
2015-07-05,8,CENT,23096.0,23199.0
2015-07-05,9,CENT,22488.0,22591.0
2015-07-05,10,CENT,22197.0,22372.0
2015-07-05,11,CENT,22203.0,22289.0
2015-07-05,12,CENT,22017.0,22143.0
2015-07-05,13,CENT,22790.0,22910.0
2015-07-05,14,CENT,24575.0,24582.0
2015-07-05,15,CENT,26888.0,26977.0
2015-07-05,16,CENT,29204.0,29207.0
2015-07-05,17,CENT,31299.0,31447.0
2015-07-05,18,CENT,33292.0,33495.0
2015-07-05,19,CENT,35031.0,35323.0
2015-07-05,20,CENT,36426.0,36644.0
2015-07-05,21,CENT,37513.0,37463.0
2015-07-05,22,CENT,38272.0,38215.0
2015-07-05,23,CENT,38513.0,38560.0
2015-07-06,0,CENT,37921.0,38044.0
2015-07-06,1,CENT,36638.0,36694.0
2015-07-06,2,CENT,35253.0,35433.0
2015-07-06,3,CENT,34596.0,34834.0
2015-07-06,4,CENT,32578.0,32779.0
2015-07-06,5,CENT,30072.0,30582.0
2015-07-06,6,CENT,28156.0,28646.0
2015-07-06,7,CENT,26812.0,27117.0
2015-07-06,8,CENT,25888.0,26293.0
2015-07-06,9,CENT,25329.0,25764.0
2015-07-06,10,CENT,25234.0,25532.0
2015-07-06,11,CENT,25921.0,25982.0
2015-07-06,12,CENT,26774.0,27037.0
2015-07-06,13,CENT,28197.0,28310.0
2015-07-06,14,CENT,29987.0,30332.0
2015-07-06,15,CENT,31888.0,32133.0
2015-07-06,16,CENT,33876.0,33978.0
2015-07-06,17,CENT,35556.0,35458.0
2015-07-06,18,CENT,37000.0,36739.0
2015-07-06,19,CENT,38262.0,37939.0
2015-07-06,20,CENT,38830.0,38666.0
2015-07-06,21,CENT,39037.0,38796.0
2015-07-06,22,CENT,38584.0,38717.0
2015-07-06,23,CENT,37327.0,37413.0
2015-07-07,0,CENT,35902.0,36138.0
2015-07-07,1,CENT,34576.0,34843.0
2015-07-07,2,CENT,33538.0,33842.0
2015-07-07,3,CENT,32644.0,33068.0
2015-07-07,4,CENT,30516.0,30850.0
2015-07-07,5,CENT,28083.0,28721.0
2015-07-07,6,CENT,26119.0,26492.0
2015-07-07,7,CENT,24756.0,25071.0
2015-07-07,8,CENT,23855.0,24276.0
2015-07-07,9,CENT,23374.0,23704.0
2015-07-07,10,CENT,23260.0,23548.0
2015-07-07,11,CENT,23915.0,24160.0
2015-07-07,12,CENT,25063.0,25418.0
2015-07-07,13,CENT,26204.0,26567.0
2015-07-07,14,CENT,27340.0,27960.0
2015-07-07,15,CENT,28279.0,28815.0
2015-07-07,16,CENT,29200.0,29415.0
2015-07-07,17,CENT,29908.0,30045.0
2015-07-07,18,CENT,30394.0,30568.0
2015-07-07,19,CENT,30761.0,31162.0
2015-07-07,20,CENT,30792.0,31329.0
2015-07-07,21,CENT,30719.0,31352.0
2015-07-07,22,CENT,30450.0,31376.0
2015-07-07,23,CENT,29972.0,30453.0
2015-07-08,0,CENT,29437.0,29821.0
2015-07-08,1,CENT,28886.0,29245.0
2015-07-08,2,CENT,28511.0,28838.0
2015-07-08,3,CENT,28355.0,28786.0
2015-07-08,4,CENT,26935.0,27228.0
2015-07-08,5,CENT,25057.0,25334.0
2015-07-08,6,CENT,23821.0,24036.0
2015-07-08,7,CENT,22867.0,23115.0
2015-07-08,8,CENT,22315.0,22474.0
2015-07-08,9,CENT,22088.0,22224.0
2015-07-08,10,CENT,22183.0,22297.0
2015-07-08,11,CENT,23009.0,23094.0
2015-07-08,12,CENT,24196.0,24297.0
2015-07-08,13,CENT,25286.0,25333.0
2015-07-08,14,CENT,26365.0,26446.0
2015-07-08,15,CENT,27264.0,27271.0
2015-07-08,16,CENT,28267.0,28416.0
2015-07-08,17,CENT,28841.0,28932.0
2015-07-08,18,CENT,29369.0,29407.0
2015-07-08,19,CENT,29939.0,30000.0
2015-07-08,20,CENT,30256.0,30354.0
2015-07-08,21,CENT,30445.0,30709.0
2015-07-08,22,CENT,30558.0,30996.0
2015-07-08,23,CENT,30369.0,30564.0
2015-07-09,0,CENT,29956.0,30075.0
2015-07-09,1,CENT,29343.0,29419.0
2015-07-09,2,CENT,28892.0,28875.0
2015-07-09,3,CENT,29012.0,29078.0
2015-07-09,4,CENT,27529.0,27708.0
2015-07-09,5,CENT,25548.0,25778.0
2015-07-09,6,CENT,23897.0,24394.0
2015-07-09,7,CENT,23032.0,23524.0
2015-07-09,8,CENT,22413.0,22884.0
2015-07-09,9,CENT,22113.0,22462.0
2015-07-09,10,CENT,22177.0,22514.0
2015-07-09,11,CENT,23006.0,23276.0
2015-07-09,12,CENT,24182.0,24710.0
2015-07-09,13,CENT,25344.0,25871.0
2015-07-09,14,CENT,26672.0,27106.0
2015-07-09,15,CENT,27939.0,28358.0
2015-07-09,16,CENT,29221.0,29581.0
2015-07-09,17,CENT,30321.0,30500.0
2015-07-09,18,CENT,31311.0,31399.0
2015-07-09,19,CENT,32219.0,32449.0
2015-07-09,20,CENT,32809.0,32927.0
2015-07-09,21,CENT,33359.0,33603.0
2015-07-09,22,CENT,33588.0,33898.0
2015-07-09,23,CENT,33580.0,33998.0
2015-07-10,0,CENT,33120.0,33481.0
2015-07-10,1,CENT,32344.0,32776.0
2015-07-10,2,CENT,31480.0,32167.0
2015-07-10,3,CENT,31082.0,31773.0
2015-07-10,4,CENT,29402.0,29895.0
2015-07-10,5,CENT,27100.0,27669.0
2015-07-10,6,CENT,25450.0,25754.0
2015-07-10,7,CENT,24226.0,24682.0
2015-07-10,8,CENT,23447.0,23809.0
2015-07-10,9,CENT,22956.0,23235.0
2015-07-10,10,CENT,22931.0,23161.0
2015-07-10,11,CENT,23485.0,23707.0
2015-07-10,12,CENT,24465.0,24679.0
2015-07-10,13,CENT,25737.0,25821.0
2015-07-10,14,CENT,27279.0,27427.0
2015-07-10,15,CENT,28897.0,29126.0
2015-07-10,16,CENT,30569.0,30998.0
2015-07-10,17,CENT,31991.0,32387.0
2015-07-10,18,CENT,33228.0,33578.0
2015-07-10,19,CENT,34483.0,34555.0
2015-07-10,20,CENT,35174.0,35368.0
2015-07-10,21,CENT,35820.0,35969.0
2015-07-10,22,CENT,36079.0,36656.0
2015-07-10,23,CENT,35757.0,36290.0
2015-07-11,0,CENT,35005.0,35463.0
2015-07-11,1,CENT,33867.0,34368.0
2015-07-11,2,CENT,32700.0,33383.0
2015-07-11,3,CENT,32139.0,32750.0
2015-07-11,4,CENT,30469.0,31050.0
2015-07-11,5,CENT,28473.0,28879.0
2015-07-11,6,CENT,26638.0,27064.0
2015-07-11,7,CENT,25401.0,25855.0
2015-07-11,8,CENT,24480.0,24894.0
2015-07-11,9,CENT,23722.0,24094.0
2015-07-11,10,CENT,23532.0,23828.0
2015-07-11,11,CENT,23624.0,23847.0
2015-07-11,12,CENT,23582.0,23828.0
2015-07-11,13,CENT,24468.0,24596.0
2015-07-11,14,CENT,26621.0,26921.0
2015-07-11,15,CENT,28973.0,29208.0
2015-07-11,16,CENT,31313.0,31688.0
2015-07-11,17,CENT,33279.0,33697.0
2015-07-11,18,CENT,34892.0,35334.0
2015-07-11,19,CENT,36201.0,36443.0
2015-07-11,20,CENT,37330.0,37544.0
2015-07-11,21,CENT,38136.0,38178.0
2015-07-11,22,CENT,38725.0,39128.0
2015-07-11,23,CENT,38868.0,39562.0
2015-07-12,0,CENT,38300.0,38636.0
2015-07-12,1,CENT,37090.0,37475.0
2015-07-12,2,CENT,35612.0,36092.0
2015-07-12,3,CENT,34750.0,35140.0
2015-07-12,4,CENT,32878.0,33237.0
2015-07-12,5,CENT,30532.0,30982.0
2015-07-12,6,CENT,28588.0,28799.0
2015-07-12,7,CENT,27016.0,27260.0
2015-07-12,8,CENT,25794.0,26013.0
2015-07-12,9,CENT,24883.0,24930.0
2015-07-12,10,CENT,24389.0,24396.0
2015-07-12,11,CENT,24208.0,24176.0
2015-07-12,12,CENT,23789.0,23796.0
2015-07-12,13,CENT,24764.0,24528.0
2015-07-12,14,CENT,27202.0,27095.0
2015-07-12,15,CENT,29774.0,29425.0
2015-07-12,16,CENT,32078.0,32042.0
2015-07-12,17,CENT,34262.0,34378.0
2015-07-12,18,CENT,36345.0,36119.0
2015-07-12,19,CENT,38030.0,37869.0
2015-07-12,20,CENT,39370.0,39067.0
2015-07-12,21,CENT,40291.0,39857.0
2015-07-12,22,CENT,41063.0,40738.0
2015-07-12,23,CENT,41356.0,41323.0
2015-07-13,0,CENT,40972.0,40860.0
2015-07-13,1,CENT,39946.0,39932.0
2015-07-13,2,CENT,38494.0,38639.0
2015-07-13,3,CENT,37707.0,37873.0
2015-07-13,4,CENT,35441.0,35625.0
2015-07-13,5,CENT,32729.0,33039.0
2015-07-13,6,CENT,30515.0,30766.0
2015-07-13,7,CENT,28836.0,29023.0
2015-07-13,8,CENT,27537.0,27596.0
2015-07-13,9,CENT,26754.0,26833.0
2015-07-13,10,CENT,26530.0,26642.0
2015-07-13,11,CENT,27146.0,27187.0
2015-07-13,12,CENT,28106.0,28087.0
2015-07-13,13,CENT,29749.0,29697.0
2015-07-13,14,CENT,32191.0,32169.0
2015-07-13,15,CENT,34692.0,34620.0
2015-07-13,16,CENT,37136.0,36964.0
2015-07-13,17,CENT,39410.0,38800.0
2015-07-13,18,CENT,41426.0,40792.0
2015-07-13,19,CENT,43091.0,42592.0
2015-07-13,20,CENT,44004.0,43401.0
2015-07-13,21,CENT,44738.0,44655.0
2015-07-13,22,CENT,45021.0,44822.0
2015-07-13,23,CENT,44741.0,44658.0
2015-07-14,0,CENT,43989.0,43875.0
2015-07-14,1,CENT,42744.0,42366.0
2015-07-14,2,CENT,41009.0,40621.0
2015-07-14,3,CENT,39948.0,39886.0
2015-07-14,4,CENT,37403.0,37500.0
2015-07-14,5,CENT,34401.0,34436.0
2015-07-14,6,CENT,32133.0,32423.0
2015-07-14,7,CENT,30341.0,30909.0
2015-07-14,8,CENT,29039.0,29576.0
2015-07-14,9,CENT,28080.0,28610.0
2015-07-14,10,CENT,27751.0,28144.0
2015-07-14,11,CENT,28235.0,28684.0
2015-07-14,12,CENT,29071.0,29255.0
2015-07-14,13,CENT,30423.0,30459.0
2015-07-14,14,CENT,32498.0,32487.0
2015-07-14,15,CENT,34714.0,34416.0
2015-07-14,16,CENT,36681.0,36178.0
2015-07-14,17,CENT,38673.0,37992.0
2015-07-14,18,CENT,40546.0,39880.0
2015-07-14,19,CENT,42280.0,41454.0
2015-07-14,20,CENT,43354.0,42801.0
2015-07-14,21,CENT,44256.0,43943.0
2015-07-14,22,CENT,44674.0,44342.0
2015-07-14,23,CENT,44428.0,44045.0
2015-07-15,0,CENT,43721.0,43325.0
2015-07-15,1,CENT,42626.0,42233.0
2015-07-15,2,CENT,40994.0,40479.0
2015-07-15,3,CENT,39853.0,39642.0
2015-07-15,4,CENT,37415.0,37504.0
2015-07-15,5,CENT,34483.0,34702.0
2015-07-15,6,CENT,32229.0,32710.0
2015-07-15,7,CENT,30521.0,31073.0
2015-07-15,8,CENT,29231.0,29813.0
2015-07-15,9,CENT,28285.0,28921.0
2015-07-15,10,CENT,27838.0,28368.0
2015-07-15,11,CENT,28469.0,28906.0
2015-07-15,12,CENT,29340.0,29792.0
2015-07-15,13,CENT,30522.0,30978.0
2015-07-15,14,CENT,32162.0,32503.0
2015-07-15,15,CENT,33749.0,33962.0
2015-07-15,16,CENT,35450.0,35500.0
2015-07-15,17,CENT,37104.0,37036.0
2015-07-15,18,CENT,38622.0,38473.0
2015-07-15,19,CENT,40101.0,39866.0
2015-07-15,20,CENT,41146.0,41131.0
2015-07-15,21,CENT,42053.0,42256.0
2015-07-15,22,CENT,42496.0,42701.0
2015-07-15,23,CENT,42534.0,42816.0
2015-07-16,0,CENT,41901.0,42017.0
2015-07-16,1,CENT,40616.0,40154.0
2015-07-16,2,CENT,39101.0,39091.0
2015-07-16,3,CENT,38000.0,38090.0
2015-07-16,4,CENT,35503.0,35735.0
2015-07-16,5,CENT,32696.0,33022.0
2015-07-16,6,CENT,30579.0,31208.0
2015-07-16,7,CENT,28983.0,29551.0
2015-07-16,8,CENT,27806.0,28430.0
2015-07-16,9,CENT,27039.0,27468.0
2015-07-16,10,CENT,26751.0,27275.0
2015-07-16,11,CENT,27399.0,27828.0
2015-07-16,12,CENT,28351.0,28413.0
2015-07-16,13,CENT,29640.0,29394.0
2015-07-16,14,CENT,31543.0,31357.0
2015-07-16,15,CENT,33648.0,33247.0
2015-07-16,16,CENT,35968.0,35519.0
2015-07-16,17,CENT,38184.0,37835.0
2015-07-16,18,CENT,40115.0,39473.0
2015-07-16,19,CENT,41776.0,41072.0
2015-07-16,20,CENT,42848.0,42278.0
2015-07-16,21,CENT,43677.0,43228.0
2015-07-16,22,CENT,44132.0,44138.0
2015-07-16,23,CENT,43831.0,44004.0
2015-07-17,0,CENT,43023.0,42694.0
2015-07-17,1,CENT,41726.0,41452.0
2015-07-17,2,CENT,40090.0,39600.0
2015-07-17,3,CENT,39104.0,38902.0
2015-07-17,4,CENT,36701.0,36746.0
2015-07-17,5,CENT,33794.0,34188.0
2015-07-17,6,CENT,31485.0,31808.0
2015-07-17,7,CENT,29874.0,30438.0
2015-07-17,8,CENT,28621.0,29180.0
2015-07-17,9,CENT,27658.0,28488.0
2015-07-17,10,CENT,27322.0,27839.0
2015-07-17,11,CENT,27949.0,28232.0
2015-07-17,12,CENT,28818.0,29159.0
2015-07-17,13,CENT,30325.0,30288.0
2015-07-17,14,CENT,32602.0,32548.0
2015-07-17,15,CENT,34951.0,34939.0
2015-07-17,16,CENT,37420.0,37065.0
2015-07-17,17,CENT,39495.0,38459.0
2015-07-17,18,CENT,41183.0,40006.0
2015-07-17,19,CENT,42734.0,41818.0
2015-07-17,20,CENT,43461.0,42678.0
2015-07-17,21,CENT,44125.0,43681.0
2015-07-17,22,CENT,44247.0,44318.0
2015-07-17,23,CENT,43644.0,43528.0
2015-07-18,0,CENT,42567.0,42423.0
2015-07-18,1,CENT,41209.0,41133.0
2015-07-18,2,CENT,39622.0,39767.0
2015-07-18,3,CENT,38526.0,38754.0
2015-07-18,4,CENT,36296.0,36658.0
2015-07-18,5,CENT,33720.0,34444.0
2015-07-18,6,CENT,31674.0,32209.0
2015-07-18,7,CENT,30019.0,30773.0
2015-07-18,8,CENT,28754.0,29474.0
2015-07-18,9,CENT,27847.0,28635.0
2015-07-18,10,CENT,27261.0,28039.0
2015-07-18,11,CENT,27106.0,27777.0
2015-07-18,12,CENT,26919.0,27681.0
2015-07-18,13,CENT,27585.0,28163.0
2015-07-18,14,CENT,29457.0,30018.0
2015-07-18,15,CENT,31793.0,32205.0
2015-07-18,16,CENT,34091.0,34452.0
2015-07-18,17,CENT,36172.0,36617.0
2015-07-18,18,CENT,37793.0,37921.0
2015-07-18,19,CENT,39317.0,39472.0
2015-07-18,20,CENT,40537.0,40823.0
2015-07-18,21,CENT,41471.0,41690.0
2015-07-18,22,CENT,42124.0,42679.0
2015-07-18,23,CENT,42281.0,42621.0
2015-07-19,0,CENT,41733.0,41720.0
2015-07-19,1,CENT,40427.0,40733.0
2015-07-19,2,CENT,38723.0,38931.0
2015-07-19,3,CENT,37666.0,37960.0
2015-07-19,4,CENT,35455.0,35862.0
2015-07-19,5,CENT,32923.0,33606.0
2015-07-19,6,CENT,30911.0,31345.0
2015-07-19,7,CENT,29284.0,29735.0
2015-07-19,8,CENT,28059.0,28441.0
2015-07-19,9,CENT,27125.0,27464.0
2015-07-19,10,CENT,26580.0,26895.0
2015-07-19,11,CENT,26255.0,26556.0
2015-07-19,12,CENT,25963.0,26174.0
2015-07-19,13,CENT,26475.0,26624.0
2015-07-19,14,CENT,28142.0,28335.0
2015-07-19,15,CENT,30182.0,30234.0
2015-07-19,16,CENT,32161.0,32136.0
2015-07-19,17,CENT,34258.0,34260.0
2015-07-19,18,CENT,36184.0,36389.0
2015-07-19,19,CENT,37958.0,38205.0
2015-07-19,20,CENT,39365.0,39672.0
2015-07-19,21,CENT,40407.0,40770.0
2015-07-19,22,CENT,41130.0,41620.0
2015-07-19,23,CENT,41420.0,42011.0
2015-07-20,0,CENT,41067.0,41423.0
2015-07-20,1,CENT,39920.0,40248.0
2015-07-20,2,CENT,38457.0,38792.0
2015-07-20,3,CENT,37410.0,37860.0
2015-07-20,4,CENT,34989.0,35445.0
2015-07-20,5,CENT,32166.0,32685.0
2015-07-20,6,CENT,30093.0,30631.0
2015-07-20,7,CENT,28489.0,29039.0
2015-07-20,8,CENT,27381.0,27815.0
2015-07-20,9,CENT,26801.0,27146.0
2015-07-20,10,CENT,26636.0,26870.0
2015-07-20,11,CENT,27242.0,27501.0
2015-07-20,12,CENT,28438.0,28623.0
2015-07-20,13,CENT,29719.0,29922.0
2015-07-20,14,CENT,31490.0,31744.0
2015-07-20,15,CENT,33516.0,33907.0
2015-07-20,16,CENT,35734.0,35948.0
2015-07-20,17,CENT,37960.0,38133.0
2015-07-20,18,CENT,39960.0,40144.0
2015-07-20,19,CENT,41839.0,41935.0
2015-07-20,20,CENT,42896.0,42876.0
2015-07-20,21,CENT,43504.0,43669.0
2015-07-20,22,CENT,43444.0,43636.0
2015-07-20,23,CENT,42732.0,42823.0
2015-07-21,0,CENT,41706.0,41598.0
2015-07-21,1,CENT,40303.0,40131.0
2015-07-21,2,CENT,38739.0,38383.0
2015-07-21,3,CENT,37413.0,37223.0
2015-07-21,4,CENT,34831.0,35119.0
2015-07-21,5,CENT,31881.0,32135.0
2015-07-21,6,CENT,29652.0,30277.0
2015-07-21,7,CENT,28126.0,28848.0
2015-07-21,8,CENT,26951.0,27772.0
2015-07-21,9,CENT,26145.0,26845.0
2015-07-21,10,CENT,25892.0,26535.0
2015-07-21,11,CENT,26410.0,26835.0
2015-07-21,12,CENT,27426.0,27894.0
2015-07-21,13,CENT,28591.0,29154.0
2015-07-21,14,CENT,29672.0,30263.0
2015-07-21,15,CENT,30941.0,31161.0
2015-07-21,16,CENT,32317.0,32695.0
2015-07-21,17,CENT,33866.0,34134.0
2015-07-21,18,CENT,35208.0,35690.0
2015-07-21,19,CENT,36404.0,37155.0
2015-07-21,20,CENT,37025.0,37678.0
2015-07-21,21,CENT,37366.0,38062.0
2015-07-21,22,CENT,37449.0,38380.0
2015-07-21,23,CENT,37033.0,37887.0
2015-07-22,0,CENT,36250.0,36835.0
2015-07-22,1,CENT,35411.0,36145.0
2015-07-22,2,CENT,34334.0,35094.0
2015-07-22,3,CENT,33635.0,34289.0
2015-07-22,4,CENT,31472.0,32067.0
2015-07-22,5,CENT,29028.0,29601.0
2015-07-22,6,CENT,27101.0,27746.0
2015-07-22,7,CENT,25945.0,26664.0
2015-07-22,8,CENT,25130.0,25841.0
2015-07-22,9,CENT,24684.0,25259.0
2015-07-22,10,CENT,24651.0,25200.0
2015-07-22,11,CENT,25415.0,25922.0
2015-07-22,12,CENT,26555.0,27155.0
2015-07-22,13,CENT,27724.0,28322.0
2015-07-22,14,CENT,29336.0,29976.0
2015-07-22,15,CENT,30961.0,31274.0
2015-07-22,16,CENT,32713.0,32842.0
2015-07-22,17,CENT,34381.0,34545.0
2015-07-22,18,CENT,35993.0,35925.0
2015-07-22,19,CENT,37512.0,37578.0
2015-07-22,20,CENT,38735.0,38979.0
2015-07-22,21,CENT,39781.0,40315.0
2015-07-22,22,CENT,40321.0,40819.0
2015-07-22,23,CENT,40225.0,40485.0
2015-07-23,0,CENT,39647.0,39530.0
2015-07-23,1,CENT,38571.0,38553.0
2015-07-23,2,CENT,37286.0,37163.0
2015-07-23,3,CENT,36447.0,36534.0
2015-07-23,4,CENT,34186.0,34567.0
2015-07-23,5,CENT,31518.0,32029.0
2015-07-23,6,CENT,29348.0,29686.0
2015-07-23,7,CENT,27920.0,28216.0
2015-07-23,8,CENT,27013.0,27358.0
2015-07-23,9,CENT,26483.0,26770.0
2015-07-23,10,CENT,26303.0,26676.0
2015-07-23,11,CENT,26993.0,27358.0
2015-07-23,12,CENT,27976.0,28327.0
2015-07-23,13,CENT,29343.0,29676.0
2015-07-23,14,CENT,31086.0,31502.0
2015-07-23,15,CENT,33119.0,33157.0
2015-07-23,16,CENT,35224.0,35280.0
2015-07-23,17,CENT,37405.0,37445.0
2015-07-23,18,CENT,39385.0,39194.0
2015-07-23,19,CENT,41044.0,40717.0
2015-07-23,20,CENT,42093.0,42400.0
2015-07-23,21,CENT,43040.0,43819.0
2015-07-23,22,CENT,43619.0,44173.0
2015-07-23,23,CENT,43402.0,44007.0
2015-07-24,0,CENT,42734.0,42919.0
2015-07-24,1,CENT,41612.0,41507.0
2015-07-24,2,CENT,40062.0,40004.0
2015-07-24,3,CENT,38941.0,38767.0
2015-07-24,4,CENT,36625.0,37123.0
2015-07-24,5,CENT,33920.0,34614.0
2015-07-24,6,CENT,31686.0,32274.0
2015-07-24,7,CENT,29999.0,30638.0
2015-07-24,8,CENT,28832.0,29416.0
2015-07-24,9,CENT,28103.0,28651.0
2015-07-24,10,CENT,27874.0,28414.0
2015-07-24,11,CENT,28234.0,28836.0
2015-07-24,12,CENT,28960.0,29425.0
2015-07-24,13,CENT,30432.0,30681.0
2015-07-24,14,CENT,32602.0,32903.0
2015-07-24,15,CENT,34768.0,34458.0
2015-07-24,16,CENT,37089.0,36735.0
2015-07-24,17,CENT,39440.0,39232.0
2015-07-24,18,CENT,41722.0,41558.0
2015-07-24,19,CENT,43692.0,43950.0
2015-07-24,20,CENT,44728.0,45116.0
2015-07-24,21,CENT,45524.0,46115.0
2015-07-24,22,CENT,45850.0,46617.0
2015-07-24,23,CENT,45367.0,46029.0
2015-07-25,0,CENT,44342.0,44543.0
2015-07-25,1,CENT,43065.0,43057.0
2015-07-25,2,CENT,41309.0,41147.0
2015-07-25,3,CENT,40045.0,40106.0
2015-07-25,4,CENT,37712.0,37965.0
2015-07-25,5,CENT,35059.0,35576.0
2015-07-25,6,CENT,32664.0,33170.0
2015-07-25,7,CENT,30814.0,31388.0
2015-07-25,8,CENT,29426.0,30076.0
2015-07-25,9,CENT,28426.0,29045.0
2015-07-25,10,CENT,27695.0,28336.0
2015-07-25,11,CENT,27490.0,28069.0
2015-07-25,12,CENT,27278.0,27971.0
2015-07-25,13,CENT,27822.0,28492.0
2015-07-25,14,CENT,29665.0,30281.0
2015-07-25,15,CENT,31938.0,32284.0
2015-07-25,16,CENT,34501.0,34645.0
2015-07-25,17,CENT,36822.0,36867.0
2015-07-25,18,CENT,38696.0,38795.0
2015-07-25,19,CENT,40068.0,40591.0
2015-07-25,20,CENT,41002.0,41808.0
2015-07-25,21,CENT,41606.0,42567.0
2015-07-25,22,CENT,41742.0,42659.0
2015-07-25,23,CENT,41529.0,42342.0
2015-07-26,0,CENT,40864.0,41471.0
2015-07-26,1,CENT,39648.0,40233.0
2015-07-26,2,CENT,38313.0,38508.0
2015-07-26,3,CENT,37306.0,37719.0
2015-07-26,4,CENT,35155.0,35972.0
2015-07-26,5,CENT,32847.0,33653.0
2015-07-26,6,CENT,30961.0,31786.0
